e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,35024,28241,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160
1,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,1,2,sebastes,Sebastes spp.,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,3,0,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,
3,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,1,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,201,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,pmi,Patiria miniata,Bat star,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,pgi,Pomaulax gibberosus,Red turban shell,153,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,ami,Acmaea mitra,Whitecap limpet,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Em Lim,Isabelle Cote,BMSC1,Dodger Channel,48.8289,-125.19757,14/04/2025,4,NE,9:55,IMC,5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,25,0,6,11,7,1,,,,,,,,,,,,,,,,,,,,,,,,
