site_id,year,method,search,total_alive,n_quadrats,site_mean_density
Aguilar,2025,perp_quad,non_cryptic,46,30,1.5333333333333334
Blowhole,2025,perp_quad,non_cryptic,8,30,0.26666666666666666
Blue Stone Point,2025,perp_quad,non_cryptic,13,30,0.43333333333333335
Bourdelais,2025,perp_quad,non_cryptic,2,31,0.06451612903225806
Clifton Point,2025,perp_quad,non_cryptic,0,30,0
Clutus,2025,perp_quad,non_cryptic,0,30,0
Clutus 2 ,2025,perp_quad,non_cryptic,0,30,0
Congreve Island,2025,perp_quad,non_cryptic,0,30,0
Danger Rock,2025,perp_quad,non_cryptic,2,30,0.06666666666666667
Diana SE,2025,perp_quad,non_cryptic,43,30,1.4333333333333333
Diana SE 2,2025,perp_quad,non_cryptic,0,30,0
Diplock Island,2025,perp_quad,non_cryptic,43,30,1.4333333333333333
Dixon Southwest,2025,perp_quad,non_cryptic,76,30,2.533333333333333
Dodger Channel,2025,perp_quad,non_cryptic,13,30,0.43333333333333335
Eagle Bay,2025,perp_quad,non_cryptic,242,30,8.066666666666666
Edward King East,2025,perp_quad,non_cryptic,100,30,3.3333333333333335
Edward King SE,2025,perp_quad,non_cryptic,147,30,4.9
Edward King SW Pyramid,2025,perp_quad,non_cryptic,70,30,2.3333333333333335
Ellis Bay,2025,perp_quad,non_cryptic,146,30,4.866666666666666
Flemming 112,2025,perp_quad,non_cryptic,37,31,1.1935483870967742
Flemming 114,2025,perp_quad,non_cryptic,1,30,0.03333333333333333
Flemming NW 4,2025,perp_quad,non_cryptic,36,17,2.1176470588235294
Flemming Northeast,2025,perp_quad,non_cryptic,21,30,0.7
Flemming Northwest,2025,perp_quad,non_cryptic,112,30,3.7333333333333334
Folger Island,2025,perp_quad,non_cryptic,19,31,0.6129032258064516
Fry Island,2025,perp_quad,non_cryptic,43,30,1.4333333333333333
Goby Town,2025,perp_quad,non_cryptic,71,30,2.3666666666666667
Hatchery,2025,perp_quad,non_cryptic,0,30,0
Helby SW,2025,perp_quad,non_cryptic,89,31,2.870967741935484
Hosie South,2025,perp_quad,non_cryptic,1,30,0.03333333333333333
Keeha,2025,perp_quad,non_cryptic,0,30,0
Kirby,2025,perp_quad,non_cryptic,12,30,0.4
Lawton Point,2025,perp_quad,non_cryptic,37,30,1.2333333333333334
Leach,2025,perp_quad,non_cryptic,57,30,1.9
Nanat Point,2025,perp_quad,non_cryptic,38,30,1.2666666666666666
North Helby Rock,2025,perp_quad,non_cryptic,15,30,0.5
Ohiat Islet,2025,perp_quad,non_cryptic,42,30,1.4
Pachena Bay South,2025,perp_quad,non_cryptic,0,30,0
Pachena Bay South 2,2025,perp_quad,non_cryptic,6,30,0.2
Poets Nook,2025,perp_quad,non_cryptic,0,30,0
Ross NW,2025,perp_quad,non_cryptic,13,30,0.43333333333333335
San Jose Islands,2025,perp_quad,non_cryptic,16,30,0.5333333333333333
Sanford North,2025,perp_quad,non_cryptic,14,30,0.4666666666666667
Sanford South,2025,perp_quad,non_cryptic,30,30,1
Santa Maria,2025,perp_quad,non_cryptic,0,30,0
Seabird Rocks,2025,perp_quad,non_cryptic,0,30,0
Second Beach,2025,perp_quad,non_cryptic,8,29,0.27586206896551724
Slug Island,2025,perp_quad,non_cryptic,23,30,0.7666666666666667
Swiss Boy Island,2025,perp_quad,non_cryptic,119,30,3.966666666666667
Taylor Rock,2025,perp_quad,non_cryptic,44,30,1.4666666666666666
The Wall,2025,perp_quad,non_cryptic,61,30,2.033333333333333
Turf Island,2025,perp_quad,non_cryptic,34,30,1.1333333333333333
Tzartus 116,2025,perp_quad,non_cryptic,5,30,0.16666666666666666
Wizard North,2025,perp_quad,non_cryptic,34,30,1.1333333333333333
Wizard South,2025,perp_quad,non_cryptic,37,31,1.1935483870967742
