SITE,LOCATION,,,Mean,SD,Var,SE,depth_ft,Date,Abalone sizes - sample independently of density data,,,,,,,,,,,,,,density_sample_size,study,quad_size (m2),comments
1. SHIP ISLANDS,48 49.06,125 13.83,,0.15,0.366347549,0.134210526,0.081917802,20,July 18 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,Density estimates based on 20 quadrats (0.7 by 0.7m) placed haphazardly on the sea bed in ~8-10m below MLW
2. ED KING,48 49.31,125 12.97,,0.35,0.74515982,0.555263158,0.166622801,20,July 18 1988,Abalone,34mm,90mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
3. W ED KING,48 49.79,125 13.12,,0.05,0.223606798,0.05,0.05,20,July 18 1988,Abalone,60mm,68mm,74mm,,,,,,,,,,,n=20,JaneWatson,0.7,
4. SEPPINGS,48 47.81,125 12.37,,0.1,0.307793506,0.094736842,0.06882472,20,July 18 1988,Abalone,23mm,,,,,,,,,,,,,n=20,JaneWatson,0.7,
5. CAPE BEALE,48 47.81,125 12.60,,0.1,0.307793506,0.094736842,0.06882472,20,July 19 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
6. LAWTON POINT,48 48.02,125 11.40,,0.15,0.489360485,0.239473684,0.109424331,20,July 19 1988,Abalone,103mm,48mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
7. WHITTLESTONE,48 48.43,125 11.08,,0.05,0.223606798,0.05,0.05,20,July 19 1988,Abalone,62mm,,,,,,,,,,,,,n=20,JaneWatson,0.7,
8. EXECUTION ROCK,48 48.86,125 10.71,,0,0,0,0,20,July 19 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
9. SELF POINT,48 59.90,125 09.75,,0,0,0,0,25,July 20 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
10. HELBY ISLAND,48 51.35,125 10.23,,0.1,0.447213595,0.2,0.1,20,July 20 1988,Abalone,34mm,62mm,,,,,,,,,,,,n=20,JaneWatson,0.7,
11. SCOTTS BAY,48 50.06,125 08.83,,0.25,0.444261658,0.197368421,0.099339927,20,July 20 1988,Abalone,59mm,91mm,53mm,55mm,30mm,102mm,80mm,110mm,97mm,68mm,75mm,70mm,80mm,n=20,JaneWatson,0.7,
12. AGUILLAR POINT,48 50.34,125 08.52,,0.25,0.550119604,0.302631579,0.123010483,20,July 20 1988,,,,,,,,,,,,,,,n=20,JaneWatson,0.7,
