Site,Latitude (Decimal Degrees),Longitude (Decimal Degrees),outplant
SHIP ISLANDS,48.817667,-125.2305,no
ED KING,48.821833,-125.216167,no
W ED KING,48.829833,-125.218667,no
SEPPINGS,48.796833,-125.206167,no
CAPE BEALE,48.796833,-125.21,no
LAWTON POINT,48.800333,-125.19,no
WHITTLESTONE,48.807167,-125.184667,no
EXECUTION ROCK,48.814333,-125.1785,no
SELF POINT,48.998333,-125.1625,no
HELBY ISLAND,48.855833,-125.1705,no
SCOTTS BAY,48.834333,-125.147167,yes
AGUILLAR POINT,48.839,-125.142,yes
CIA ROCK,48.837667,-125.1825,no
TAYLOR ED KING,48.827667,-125.204167,yes
KIRBY POINT,48.845,-125.208667,no
VILLAGE BAY,48.85,-125.200667,no
BLOWHOLE,48.8245,-125.161667,no
PRASIOLA,48.815,-125.174833,no
WIZARD,48.858,-125.160833,no
GRAPPLER,48.839,-125.1335,yes
ED KING,48.83,-125.219333,no
helby_sw,48.846766,-125.166984,yes
