Date,Outplant Site,GPS Assumption,Objective,Life Stage,Age,Amount,Data at site before?,Source,Verified?,GPS varified
"September, 2003",Scott’s Bay,,BHCAP Outplant,Larvae,0,"64,000",No,Larry notes / Hansen 2011,Yes,
"September, 2003",Scott’s Bay,,BHCAP Outplant,Juveniles,1 year,"2,000",No,Larry notes/ Hansen 2011,Yes,
"June, 2004",Scott’s Bay,,BHCAP Outplant,Larvae,0,"500,000",No,Larry notes / Hansen 2011,Yes,
"September, 2004",Scott’s Bay,,BHCAP Outplant,Larvae,0,"1,330,000",No,Larry notes / Hansen 2011,Yes,
"March, 2005",Scott’s Bay,,BHCAP Outplant,Juveniles,2-3 months,"72,000",No,Larry notes / Hansen 2011,Yes,
"November, 2005",Grappler Inlet,,BHCAP Outplant,Larvae,0,"1,000,000",No,Larry notes / Hansen 2011,Yes,
"November, 2005",Helby Island,,BHCAP Outplant,Larvae,0,"1,000,000",No,Larry notes / Hansen 2011,Yes,
"March, 2006",Grappler Inlet,,BHCAP Outplant,Juveniles,2-3 months,"75,000",No,Larry notes / Hansen 2011,Yes,
"March, 2006",Helby Island,,BHCAP Outplant,Juveniles,2-3 months,"75,000",No,Larry notes,No,
"July, 2008",Edward King Island,,BHCAP Outplant,Adult?,?,663,No,Larry notes + JL (Larry's notes rounded total is actually 2688),yes -JL,"48°49'25.3""N 125°12'51.0""W"
"July, 2008",Edward King Island,,BHCAP Outplant,Adult?,?,773,No,Larry notes + JL,yes -JL,"48°49'30.6""N 125°12'41.4""W"
"July, 2008",Edward King Island,,BHCAP Outplant,Adult?,?,733,No,Larry notes + JL,yes -JL,"48°49'40.2""N 125°12'25.8""W"
"July, 2008",Edward King Island,,BHCAP Outplant,Adult?,?,519,No,Larry notes + JL,yes -JL,"48°49'43.2""N 125°12'12.0""W"
"July & August, 2008",Aguilar Point,,BHCAP Outplant,Adult,?,"5,300",No,Larry notes,No,
"July, 2009",Aguilar Point,,BHCAP Outplant,Adult,?,"1,700",No,Larry notes,No,
"July, 2009 (June 10th in hansen 2011)",Sandford Island,,BHCAP Outplant/ Christine Hansen Masters,Larvae,0,"800,000",Yes,Larry notes/ Hansen 2011 Chapter 2; pg. 42-46,Yes,
Aug-08,Flemming Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm  ,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes,
Aug-08,Ross Islets,,Christine Hansen Masters,Juveniles,2.3-4.8cm  ,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes,
Aug-08,Diana Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm  ,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes,
Aug-08,Sanford Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm  ,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes,
Aug-08,Ohiaht Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm  ,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes,
??,Flemming Island 2,,Christine Hasen Masters,Juveniles,4.23-6.46cm,<560,No?,Hansen 2011 Chapter 4 (predator exclusion component) & Appendix D; pg. 84-88 & 162,Yes,
??,Flemming Island 2,,Christine Hasen Masters,Juveniles,1.0-2.3 cm,??,No?,Hansen 2011 Chapter 4 (predator exclusion component) & Appendix D; pg. 84-88 & 162,Yes,
"Aug 6th, 2008",Scotts Bay ,,"Read, Lessard, Boulding 2013",Juveniles,22.2cm,1000,No,"Read, Lessard, Boulding 2013 Pg. 172 methods",Yes,
"July 11th, 2009",Scotts Bay? ,,"Read, Lessard, Boulding 2013",Adults,51.5mm,900,No,"Read, Lessard, Boulding 2013 Pg. 172 methods",Yes,
"Aug - Sept, 2004",Scotts Bay & Brady Rock?,,"Griffiths, Gosselin MSc",Juveniles,1.0-25.0 mm,3250?,No,"Griffiths, Gosselin / Abalone recovery team 2004 update",No,
,,,,,,,,,,
,,,,,,,,,,
Totals,Location,Larvae,Juveniles,Adults ,Combined Life stages / total effort,Juvenile effort,,,,
All,20,"4,694,000","226,875",8563,"4,929,438","226,875",,,,
Scotts Bay,7,"1,894,000","75,000",900,0.399619592,0.330578512,,,,
Grappler Inlet ,2,"1,000,000","75,000",0,0.218077598,0.330578512,,,,
Helby Island,2,"1,000,000","75,000",0,0.218077598,0.330578512,,,,
Edward King Island,1,0,0,663,0.000134498,0,,,,
Aguilar Point,2,0,0,"7,000",0.00142004,0,,,,
Standford Island,2,"800,000",375,0,0.162366379,0.001652893,,,,
Flemming Island,1,0,375,0,7.60736E-05,0.001652893,,,,
Ross Islets,1,0,375,0,7.60736E-05,0.001652893,,,,
Diana Island,1,0,375,0,7.60736E-05,0.001652893,,,,
Ohiaht Island,1,0,375,0,7.60736E-05,0.001652893,,,,
2 Flemming Island ,2,0,#VALUE!,0,#VALUE!,,,,,
