FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a8,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Bivalvia,Ostreoida,Pectinidae,Crassadoma gigantea,Crassadoma gigantea,12.5,3,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a7,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Bivalvia,Ostreoida,Pectinidae,Crassadoma gigantea,Crassadoma gigantea,20,2,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a6,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma foliatum,Ceratostoma foliatum,0,8,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a5,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina luteomarginata,Cadlina luteomarginata,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a4,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus iris,Dendronotus iris,0,3,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a3,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Hermissenda crassicornis,Hermissenda crassicornis,0,27,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a2,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha modesta,Triopha modesta,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a1,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,Haliotis kamtschatkana,Haliotis kamtschatkana,10,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-67a0,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,,Acmaeidae,Acmaea mitra,Acmaea mitra,0,4,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679f,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,2,Mollusca,Gastropoda,,Turbinidae,Pomaulax gibberosus,Pomaulax gibberosus,0,58,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679e,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon antennarium,Romaleon antennarium,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679d,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Arthropoda,Malacostraca,Decapoda,,Paguroidea spp.,Decapoda spp.,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679c,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias troschelii,Evasterias troschelii,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679b,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias koehleri,Orthasterias koehleri,0,9,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-679a,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Stylasterias forreri,Stylasterias forreri,0,1,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-6799,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia leviuscula,Henricia leviuscula,0,4,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-6798,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias imbricata,Dermasterias imbricata,0,3,,POINT (-125.16000366210938 48.86000061035156)
ep_m2_inverts_public_data.fid-325e78ce_19fbfcf9ac6_-6797,923400142,Canada,British Columbia,"Oregon, Washington, Vancouver Coast and Shelf",Temperate Northern Pacific,Vancouver Island,BMSC11,Wizard Island South,48.86,-125.16,2021-05-03,5.5,RLS,7,10:30:00,,,2,1,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus franciscanus,Mesocentrotus franciscanus,0,310,,POINT (-125.16000366210938 48.86000061035156)
