e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,36024,31252,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160,,,,,,,,,,,,,,,,,,,,
1,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,1,1,NSF,No species found,No species found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Mfr,Mesocentrotus franciscanus,Red sea urchin,256,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Dim,Dermasterias imbricata,Leather star,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Phe,Pagurus hemphilli,Maroon hermit,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Cfo,Ceratostoma foliatum,Leafy hornmouth,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Gor,Glebocarcinus oregonensis,Pygmy rock crab,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Spur,Strongylocentrotus purpuratus,Purple sea urchin,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Cgi,Crassadoma gigantea,Purple-hinged rock scallop,3,0,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Pachycheles,Pachycheles spp.,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Hermit,Paguroidea spp.,Unidentified hermit crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Sdr,Strongylocentrotus droebachiensis,Northern sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Ami,Acmaea mitra,Whitecap limpet,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Oko,Orthasterias koehleri,Rainbow star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Henricia,Henricia spp.,Unidentified blood star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Das,Diodora aspera,Rough keyhole limpet,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Pmi,Patiria miniata,Bat star,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Hka,Haliotis kamtschatkana,Pinto abalone,32,0,1,20,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Acal,Apostichopus californicus,Californian sea cucumber,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Dep,Debris - Plastic,Any plastic debris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Rni,Rhinogobiops nicholsii,Blackeye goby,6,0,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Opi,Oxylebius pictus,Painted greenling,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Def,Debris - Fishing,Any fishing debris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Jzo,Jordania zonope,Longfin sculpin,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jasmin Schuster,Isabelle Cote,BMSC23,Aguilar Point,48.83758,-125.14414,13/04/2026,1,NE,10:48,IMC,7,2,1,Pgi,Pomaulax gibberosus,Red turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,1,2,Rni,Rhinogobiops nicholsii,Blackeye goby,28,0,,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Mfr,Mesocentrotus franciscanus,Red sea urchin,134,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Pmi,Patiria miniata,Bat star,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Acal,Apostichopus californicus,Californian sea cucumber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Dim,Dermasterias imbricata,Leather star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Ami,Acmaea mitra,Whitecap limpet,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Rni,Rhinogobiops nicholsii,Blackeye goby,43,0,4,14,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Pgi,Pomaulax gibberosus,Red turban shell,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Oko,Orthasterias koehleri,Rainbow star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Cgi,Crassadoma gigantea,Purple-hinged rock scallop,10,0,,,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Hka,Haliotis kamtschatkana,Pinto abalone,8,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Hermit,Paguroidea spp.,Unidentified hermit crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Cfo,Ceratostoma foliatum,Leafy hornmouth,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Spur,Strongylocentrotus purpuratus,Purple sea urchin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Das,Diodora aspera,Rough keyhole limpet,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Phe,Pagurus hemphilli,Maroon hermit,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Lottia,Lottia spp.,Unidentified limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jasmin Schuster,Isabelle Cote,BMSC25,Goby Town,48.83859,-125.13501,13/04/2026,1.5,S,13:40,IMC,5.5,2,2,Sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
