Date,Diver,Site ID,Transect ID,Quadrat #,Abalone Shell Length (cm),Alive or Dead
2025-01-22,DVM,Second Beach,SDB01,1,1,alive
2025-01-22,DVM,Second Beach,SDB01,1,13,alive
2025-01-22,DVM,Second Beach,SDB01,2,11,alive
2025-01-22,DVM,Second Beach,SDB01,3,0,na
2025-01-22,DVM,Second Beach,SDB01,4,0,na
2025-01-22,DVM,Second Beach,SDB01,5,0,na
2025-01-22,DVM,Second Beach,SDB01,6,9,alive
2025-01-22,DVM,Second Beach,SDB01,7,0,na
2025-01-22,DVM,Second Beach,SDB01,8,9,alive
2025-01-22,DVM,Second Beach,SDB01,9,0,na
2025-01-22,DVM,Second Beach,SDB01,10,0,na
2025-01-22,DVM,Second Beach,SDB01,11,0,na
2025-01-22,DVM,Second Beach,SDB01,12,0,na
2025-01-22,DVM,Second Beach,SDB01,13,0,na
2025-01-22,DVM,Second Beach,SDB01,14,0,na
2025-01-22,DVM,Second Beach,SDB01,15,0,na
2025-01-22,DVM,Edward King East,EKE01,1,0,na
2025-01-22,DVM,Edward King East,EKE01,2,0,na
2025-01-22,DVM,Edward King East,EKE01,3,10,alive
2025-01-22,DVM,Edward King East,EKE01,3,6,alive
2025-01-22,DVM,Edward King East,EKE01,4,6,alive
2025-01-22,DVM,Edward King East,EKE01,4,8,alive
2025-01-22,DVM,Edward King East,EKE01,5,4,alive
2025-01-22,DVM,Edward King East,EKE01,5,4.5,alive
2025-01-22,DVM,Edward King East,EKE01,5,11,alive
2025-01-22,DVM,Edward King East,EKE01,6,4.5,alive
2025-01-22,DVM,Edward King East,EKE01,6,7,alive
2025-01-22,DVM,Edward King East,EKE01,6,6,alive
2025-01-22,DVM,Edward King East,EKE01,7,7,alive
2025-01-22,DVM,Edward King East,EKE01,8,5.5,alive
2025-01-22,DVM,Edward King East,EKE01,8,5,alive
2025-01-22,DVM,Edward King East,EKE01,8,6,alive
2025-01-22,DVM,Edward King East,EKE01,8,4,alive
2025-01-22,DVM,Edward King East,EKE01,8,5.5,alive
2025-01-22,DVM,Edward King East,EKE01,8,4,alive
