Date,Outplant Site,GPS Assumption,Objective,Life Stage,Age,Amount,Data at site before?,Source,Verified?
"September, 2003",Scotts Bay,,BHCAP Outplant,Larvae,0,"64,000",No,Larry notes / Hansen 2011,Yes
"September, 2003",Scotts Bay,,BHCAP Outplant,Juveniles,1 year,"2,000",No,Larry notes/ Hansen 2011,Yes
"June, 2004",Scotts Bay,,BHCAP Outplant,Larvae,0,"500,000",No,Larry notes / Hansen 2011,Yes
"September, 2004",Scotts Bay,,BHCAP Outplant,Larvae,0,"1,330,000",No,Larry notes / Hansen 2011,Yes
"March, 2005",Scotts Bay,,BHCAP Outplant,Juveniles,2-3 months,"72,000",No,Larry notes / Hansen 2011,Yes
"November, 2005",Grappler Inlet,,BHCAP Outplant,Larvae,0,"1,000,000",No,Larry notes / Hansen 2011,Yes
"November, 2005",Helby Island,,BHCAP Outplant,Larvae,0,"1,000,000",No,Larry notes / Hansen 2011,Yes
"March, 2006",Grappler Inlet,,BHCAP Outplant,Juveniles,2-3 months,"75,000",No,Larry notes / Hansen 2011,Yes
"March, 2006",Helby Island,,BHCAP Outplant,Juveniles,2-3 months,"75,000",No,Larry notes,No
"July, 2008",Edward King Island,,BHCAP Outplant,Adult,?,663,No,Larry notes + JL (Larry's notes rounded total is actually 2688),yes -JL
"July, 2008",Edward King Island,,BHCAP Outplant,Adult,?,773,No,Larry notes + JL,yes -JL
"July, 2008",Edward King Island,,BHCAP Outplant,Adult,?,733,No,Larry notes + JL,yes -JL
"July, 2008",Edward King Island,,BHCAP Outplant,Adult,?,519,No,Larry notes + JL,yes -JL
"July & August, 2008",Aguilar Point,,BHCAP Outplant,Adult,?,"5,300",No,Larry notes,No
"July, 2009",Aguilar Point,,BHCAP Outplant,Adult,?,"1,700",No,Larry notes,No
"July, 2009 (June 10th in hansen 2011)",Sandford Island,,BHCAP Outplant/ Christine Hansen Masters,Larvae,0,"800,000",Yes,Larry notes/ Hansen 2011 Chapter 2; pg. 42-46,Yes
Aug-08,Flemming Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm Ê,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes
Aug-08,Ross Islets,,Christine Hansen Masters,Juveniles,2.3-4.8cm Ê,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes
Aug-08,Diana Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm Ê,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes
Aug-08,Sanford Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm Ê,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes
Aug-08,Ohiaht Island,,Christine Hansen Masters,Juveniles,2.3-4.8cm Ê,375,Yes,Hansen 2011 Chapter 2; pg. 42-46,Yes
??,Flemming Island 2,,Christine Hasen Masters,Juveniles,4.23-6.46cm,<560,No?,Hansen 2011 Chapter 4 (predator exclusion component) & Appendix D; pg. 84-88 & 162,Yes
??,Flemming Island 2,,Christine Hasen Masters,Juveniles,1.0-2.3 cm,??,No?,Hansen 2011 Chapter 4 (predator exclusion component) & Appendix D; pg. 84-88 & 162,Yes
"Aug 6th, 2008",Scotts BayÊ,,"Read, Lessard, Boulding 2013",Juveniles,22.2cm,1000,No,"Read, Lessard, Boulding 2013 Pg. 172 methods",Yes
"July 11th, 2009",Scotts Bay?Ê,,"Read, Lessard, Boulding 2013",Adults,51.5mm,900,No,"Read, Lessard, Boulding 2013 Pg. 172 methods",Yes
"Aug - Sept, 2004",Scotts Bay & Brady Rock?,,"Griffiths, Gosselin MSc",Juveniles,1.0-25.0 mm,3250?,No,"Griffiths, Gosselin / Abalone recovery team 2004 update",No
